meal_description,carb,fat,energy,protein,country,serving_type
"For a snack, I'm having 150g of peeled fresh apple, 77.8g of raw lean and fat beef, 15.8g of dry grated bread crumbs, 7.6g of hard Parmesan cheese, 20.9g of whole raw chicken egg, 0.2g of raw garlic, 10.9g of whole cow's milk, 0.6g of raw parsley, 147.1g of raw potato, 3.0g of fresh rosemary, 3.0g of dried oregano spices, 22.4g of olive oil, and 120.0g of tap water.",60.74,36.31,662.0,25.86,ITA,metric
"For a snack, I had 150.0g of peeled fresh apple, 100.0g of raw lean and fat beef, 45.0g of white bread made with Italian tipo 00 flour, 135.0g of raw cauliflower, a splash of lemon juice (5.0g), a sprinkle of fresh parsley (0.4g), a drizzle of olive oil (12.6g), and 160.0g of bottled water - Lora Recoaro.",53.47,22.49,517.0,27.770000000000003,ITA,metric
"For a snack, I had 60.0g of white bread, made from pastry flour, with 10.0g of Nutella, along with 57.3g of a raw chicken egg. I also included 75.0g of raw pork ear, 300.0g of raw potato, a splash of 4.5g of extra-virgin olive oil, a drizzle of 8.4g of olive oil, and some refreshing 320.0g of tap water.",99.65,50.98,971.0,34.26,ITA,metric
"For a snack, I had 80 grams of fresh cantaloupe, 162.1 grams of raw pork sausage, and 46 grams of raw tomato, along with 12.1 grams of olive oil, a glass of tap water (160 grams), and a sip of white wine (0.0 grams).",8.18,55.58,635.0,26.15,ITA,metric
"For breakfast, I’m drinking 240g of bottled water from Fonte Elisa.",0.0,0.0,0.0,0.0,ITA,metric
I’m starting my day with 30 grams of tea biscuits and 160 grams of Vera water for breakfast.,19.05,7.56,147.0,1.92,ITA,metric
"For a snack, I'm having 90 grams of white bread, 12.5 grams of raw carrots, 2.8 grams of raw celery, 9.2 grams of raw chard, 114.6 grams of raw chicken egg, 1.0 gram of meat extract, 6.5 grams of raw onion, 118.0 grams of fresh pear, 21.0 grams of raw potato, 92.0 grams of raw salad type tomato, 24.8 grams of olive oil, and 240.0 grams of bottled water - Lilia.",70.21000000000001,36.99,698.0,25.120000000000005,ITA,metric
I started my day with 12.5g of milk chocolate and 7.5g of hard candy.,12.95,4.61,94.0,0.9,ITA,metric
"For a snack, I had 150.0g of peeled fresh apple, 50.0g of mozzarella cheese, and a little bit of raw garlic and onion, 0.8g and 2.7g respectively. I also included 78.3g of dry pasta, 94.5g of canned peeled tomatoes, and drizzled 8.1g of olive oil on top. I washed it down with 480.0g of San Benedetto bottled water.",85.0,19.56,576.0,19.5,ITA,metric
"For a snack, I'm having 125.8g of raw chicken, 146.4g of raw mushrooms, and 2.1g of raw onion. I also have 5.5g of meat extract, a bit of raw garlic (0.2g), and I'm drinking a bit of white wine (0.0g). To round things out, I’ve got 182.0g of fresh orange, some chopped parsley (4.4g), 175.7g of raw potato, 101.8g of raw white rice, 24.3g of red ripe tomato sauce, a splash of olive oil (56.7g), and a glass of tap water (160.0g).",129.67999999999998,72.75999999999999,1320.0,44.49000000000001,ITA,metric
"For my snack, I'm having 90 grams of white bread, 120 grams of cola, and 67.5 grams of soft cheese. I’ve got 40 grams of ham, 75 grams of fresh tomatoes, 40.5 grams of lettuce, 9.5 grams of olive oil, and 240 grams of tap water.",76.0,35.46,736.0,33.18,ITA,metric
"For a snack, I'm having 100 grams of fresh banana, 100 grams of raw lean and fat beef, and 90 grams of traditional Italian white bread. I also have 196.1 grams of raw potato, 32 grams of fresh strawberries, 16 grams of sugar, 9 grams of extra-virgin olive oil, 16.1 grams of olive oil, and 320 grams of bottled water - Boario.",120.76,38.45,932.0,32.809999999999995,ITA,metric
"For a snack, I'm having 150g of fresh peeled apple, 150g of high gluten white bread, 0.1g of white table wine, 10g of butter, 2.5g of Grana cheese, 57.5g of whole cow's milk, 190g of raw potato, 0.6g of raw red hot chili pepper, 129.9g of raw veal, and 11.5g of olive oil.",146.29,26.85,985.0,47.49,ITA,metric
"For a snack, I had 60g of high gluten white bread, 172.5g of raw gilthead sea bream, and 150g of fresh grapefruit, along with 1.5g of parsley, 9.8g of olive oil, and 160g of tap water.",60.95,12.33,501.0,40.31,ITA,metric
"I just made a snack with 75g of raw beef, 45g of white pastry flour bread, and drizzled 9g of olive oil on it. I also have 320g of bottled water to drink.",25.92,16.82,322.0,18.37,ITA,metric
"For a snack, I had 150g of peeled fresh apple, along with 150g of high gluten white bread and 60g of espresso coffee. I also had 0g of white wine and 97.6g of raw pork steak. To go with that, I added 16.0g of sugar, 150.0g of raw turnip, a splash of 9.0g of extra-virgin olive oil, a drizzle of 15.4g of olive oil, and a bit of 18.0g of peanut oil. I also had 320.0g of bottled water to wash it all down and a sprinkle of 7.2g of white wheat pastry flour for a little extra flavor.",137.54999999999998,51.21,1128.0,37.11,ITA,metric
I enjoyed 38g of sponge cake along with 320g of tap water for a quick snack.,23.83,4.98,146.0,2.81,ITA,metric
"For my snack, I spread 18g of butter on 24g of sweet Melba toast, topped it with 40g of sugar-free jam, and had 250g of whole milk with 16g of sugar.",61.68,25.49,506.0,11.3,ITA,metric
"For breakfast today, it was a 150g apple, a 60g serving of espresso I made, and I had 160g of tap water to drink.",15.36,0.45,59.0,0.54,ITA,metric
"I had a snack that included 30g of Chocapic, 14g of Nesquik cocoa powder, and 250g of whole milk.",48.05,10.86,324.0,11.33,ITA,metric
"I had 90 grams of white bread with oil, a 200g glass of fruit juice, and 40g of mortadella for breakfast.",81.32999999999998,16.67,508.0,13.419999999999998,ITA,metric
"I'm enjoying a snack that includes 50g of white pastry flour bread, 131.3g of unenriched dry pasta, and 80g of cooked ham. Also on the table is 25g of olive oil, 320g of San Benedetto water, and 220g of fresh watermelon.",141.51,39.5,1029.0,35.53000000000001,ITA,metric
"For lunch today, I had 33 grams of white wheat toast paired with 40 grams of cheese slices.",16.27,13.670000000000002,229.0,11.29,ITA,metric
"For a snack, I had 120g of durum wheat bread, 9.4g of raw carrots, 2.1g of raw celery, 6.9g of raw chard, 20g of hard parmesan cheese, 0.1g of raw garlic, 50g of raw lettuce, 0.8g of meat extract, 4.9g of raw onion, and 182g of fresh orange. I also added 126.7g of heavy lean and fat pork, 15.8g of raw potato, 18.0g of extra virgin olive oil, 9.7g of olive oil, 24g of vinegar, and 320g of tap water.",78.41999999999999,43.24,875.0,47.96,ITA,metric
"For a snack, I am eating 80g of red table wine, 150g of fresh peeled apple, 43.2g of pearled raw barley, 186.6g of lean and fat raw beef, 45.0g of white pastry flour bread with 9% protein, 3.2g of butter, 6.3g of raw carrots, 60g of homemade espresso with no sugar, and 9.8g of whole raw chicken eggs. In addition, I had 0.7g of raw garlic, 1.2g of meat extract, 5.9g of raw onion, 8.5g raw parsley, 43.2g of cured ham, 234.2g of raw potatos, 21.1g of sugar, 32.5g of vegetable oil, 15.2g of soybean oil, 80g of Coop bottled water, and 47.6g of 9% protein white pastry flour.",182.32,85.67999999999999,1785.0,66.83999999999999,ITA,metric
"For a snack, I'm having 100g of fresh banana, 30g of traditional Italian white bread, 5g of hard Parmesan cheese, 100g of cooked roasted chicken, 37.5g of raw Porcino mushrooms, 240.3g of raw potato, 12.1g of olive oil, 320g of bottled Levissima water, and 38.5g of Italian ""tipo 00"" pastry flour.",105.78,31.95,864.0,44.620000000000005,ITA,metric
"For a snack, I had 320g of bottled Sant'Anna water, 55g of homemade espresso, 6g of butter, 1.5g of Grana cheese, 116.6g of raw chicken, 0g of white wine, 10g of semi-skimmed milk, 34.5g of whole milk, 114g of raw potato, 8g of sugar, 11.5g of olive oil, and 125g of plain skimmed yogurt, ""Vitasnella"" type.",40.74,31.94,573.0,31.930000000000003,ITA,metric
"For breakfast, I'm having 32g of plain Oro Saiwa biscuits and 160g of San Benedetto bottled water.",24.22,3.39,132.0,2.59,ITA,metric
"I snacked on 90 grams of Italian bread, a 160g fresh mandarin, 60g of processed ham, 24g of salami, and 160g of bottled water.",80.36,28.37,673.0,29.27,ITA,metric
"For a snack, I had 120.0g of red wine and 0.0g of white wine along with a fresh peeled apple (42.0g) and a banana (42.0g). I also enjoyed some lean beef (91.0g) and a little bit of bread crumbs (0.7g). To add a cheesy touch, I had some Emmenthal cheese (4.2g), a bit of mozzarella (14.3g), and a dollop of ricotta (3.8g). There was some chicken (167.7g) for a hearty flavor, along with a raw egg (7.0g) for a bit of richness. A sprinkle of raw garlic (0.3g) added some zest. For dessert, I had delicious commercial ice cream (37.5g) coated in chocolate. I squeezed in some lemon juice (12.0g) to brighten things up and chopped some raw onion (9.1g) for a kick. Fresh parsley (0.7g) added some color, and I also had some dry pasta (84.0g) on the side. To finish, I tossed in a fresh pear (42.0g) and just a hint of pork lard (2.8g). The meal was rounded out with some raw potato (196.1g) and a touch of sugar (12.0g) for sweetness, while a drizzle of olive oil (49.2g) brought it all together. To spice things up, I added some tomato sauce (114.3g) for a lovely finish. I also had some salami (1.4g) for an extra meaty bite.",145.53,91.36,1746.0,71.51,ITA,metric
"For a snack, I am having 120g of red table wine, 60g of white table wine, and 60g of brewed espresso. I also had 60g of unenriched dry raw pasta, 162.1g of fresh pork sausage, 8.0g of sugar, 75g of raw turnip, 8.1g of olive oil, and 160g of Santa Croce bottled water.",60.0,52.17,914.0,32.49,ITA,metric
"For a snack, I had 160g of Fanta orange soda, 11.2g of Gruyère cheese, 9.3g of raw cucumber, 20.5g of raw chicken egg, 3.0g of raw anchovy fish, 9.0g of canned tuna in oil, 7.9g of lemon juice, 27.4g of mayonnaise, 16.7g of processed black olives, 2.7g of raw sweet pepper, 4.1g of processed pork frankfurter, 76.9g of raw white rice, 13.1g of raw salad-type tomato, and 17.8g of extra-virgin olive oil.",79.59,48.52,799.0,16.36,ITA,metric
"For a snack, I had 196.1g of raw potato, 8.0g of tomato ketchup, 97.6g of raw turkey breast, a splash of 31.5g of olive oil, and a glass of 480.0g of bottled Vera water. I also tossed in a pinch of 7.2g of Italian ""tipo 00"" flour for good measure. To top it off, I enjoyed 0.0g of white wine alongside my meal.",42.59,34.58,586.0,28.49,ITA,metric
"I had a snack that consisted of 42 grams of chocolate-coated sponge cake, 160 grams of water, and 125 grams of whole milk yogurt with fruit.",40.95,7.49,252.0,6.23,ITA,metric
"For a snack, I had 50.4g of peeled fresh apple, 50.4g of fresh banana, and 87.5g of cow's milk mozzarella cheese. I also had a splash of 14.4g of lemon juice and a piece of fresh lemon, weighing 6.0g, along with 50.4g of fresh pear. To sweeten it up, I added 22.4g of sugar. I topped it off with 43.8g of fresh red ripe tomato sauce and a drizzle of 13.0g of mixed seeds vegetable oil. I enjoyed it all with 480.0g of bottled Levissima water and did a bit of baking with 126.8g of white wheat pastry flour, with a bit of 5.5g of beer yeast tablets mixed in for good measure.",142.73000000000002,31.3,947.0,32.38,ITA,metric
I enjoyed 125g of cow's milk mozzarella cheese along with 250g of tomato pizza and washed it down with 320g of Castellina bottled water for a snack.,104.38,40.88,924.0,41.13,ITA,metric
"For a snack, I'm having 75g of peeled fresh apple, 144.1g of raw carrots, 10g of hard Parmesan cheese, 37.5g of raw lamb, 3.7g of meat extract, 6.8g of olive oil, and 150g of bottled water - Fonte Regina.",20.77,13.02,258.0,14.65,ITA,metric
"For a snack, I have 150g of peeled fresh apple, 177.8g of raw carrots, 5.4g of Pecorino cheese, 67.5g of ricotta cheese, 2.7g of raw garlic, 12.9g of fresh parsley, 79.1g of dry pasta, 28.2g of olive oil, and 160g of tap water.",98.34,38.61,798.0,18.86,ITA,metric
"For my snack, I went with 90 grams of Italian white bread, paired with 30 grams of Caciotta cheese. I had 55 grams of brewed espresso made at home, without any sugar, along with 10 grams of whole milk and 30 grams of cured ham. I washed it down with 160 grams of San Benedetto bottled water and 160 grams of generic water.",53.2,20.73,476.0,22.66,ITA,metric
"For a snack, I'm having 120g of white wine, along with 4.5g of raw garlic and 4.7g of lemon juice. I also have 20.2g of raw lettuce, 0.4g of raw onion, and 0.7g of raw parsley. To make it a bit more filling, I’m adding 88.9g of dry pasta, 38.5g of raw mussels, 80.3g of raw shrimp, and 80.3g of raw squid. A splash of 29.9g of olive oil should enhance the flavors, and I’m finishing it off with 20.8g of Italian ""tipo 00"" pastry flour to give it some nice texture.",91.41,34.160000000000004,887.0,37.95,ITA,metric
"I’m having dinner with 12.8 grams of oat rolled grains, a hamburger roll with egg yolk weighing 48g, 15g of salted margarine, 148.4g of water, and 10.6g of sugar.",45.790000000000006,17.08,354.0,6.18,PER,metric
"For lunch, I had 5g of broad beans (without pods), 4g of carrots, and 18.4g of unsweetened evaporated milk (liquid). I also included 0.3g of garlic (without peel), 38.6g of pelagic marine fish (from the Cheilodactylidae family), and 2.2g of dried peppers (Chinese capsicum). Additionally, I had 38.6g of potatoes (without peel), 19.3g of pumpkins, and 33.7g of rice grain (raw, no heat treatment). I seasoned it with 2.6g of iodised and fluoridated salt, drizzled with 4.3g of refined soya bean oil, and added 245.2g of unbottled water to keep it refreshing, finishing off with 7.1g of white sugar to sprinkle a touch of sweetness.",47.63,6.380000000000001,299.0,12.05,PER,metric
"For breakfast, I had 8.8 grams of apples, 6 grams of brown sugar, 23.7 grams of hen eggs, and 95.6 grams of unbottled water.",7.54,2.0,61.0,3.23,PER,metric
"I’m having dinner with 4 grams of dried durum pasta, 4.6 grams of potatoes, a bit of 0.1 grams iodized salt, and 0.1 grams of refined soya bean oil, along with 4.6 grams of water.",4.14,0.11,18.0,0.48,PER,metric
"For my snack, I've got 69g of Berliner doughnuts, 4g of lupins, and 30.4g of raw maize. On the side, I have 199.8g of mandarins, 121.6g of oranges, and 12g of yogurt.",104.62,2.9,481.0,37.540000000000006,PER,metric
"For lunch, I am having 0.7g of raw rice and 1.3g of unbottled water.",0.55,0.0,3.0,0.04,PER,metric
"For lunch, I had 10.8g of carrots, 86.7g of fresh chicken leg, 43g of a common banana, 4.7g of dried durum pasta, a touch of garlic (0.1g) without the peel, 43g of potatoes, 9.5g of rice grain in its raw state, a sprinkle of iodised and fluoridated salt (1.7g), and I drank 276.2g of unbottled water.",31.45,2.7299999999999995,227.0,19.09,PER,metric
"For lunch, I had 12.0 grams of fried bonito, 5.6 grams of dry garden peas, and 1.4 grams of onions. I also included 13.1 grams of raw polished rice, a pinch of iodized salt (0.1 grams), and a bit of refined soybean oil (0.2 grams), along with 39.6 grams of unbottled water. Additionally, I had a tiny bit of garlic (0.0 grams), but it didn't really add weight to the meal.",14.3,1.77,98.0,6.08,PER,metric
"For a snack, I'm having 110g of common banana, 93.9g of raw white maize grain, 1.1g of iodised salt, and 2g of refined soya bean oil.",94.56,6.09,429.0,7.19,PER,metric
"This morning, my breakfast consists of 8.4g of rolled oats, a 10g egg yolk sandwich roll, 86.2g of unbottled water, and 5.4g of white sugar.",16.57,1.48,86.0,1.99,PER,metric
"For a snack, I'm having 21.1g of brown sugar, 66.7g of common banana, 5.5g of evaporated milk, 5.8g of gelatine, 4.5g of hen eggs, 23.0g of rolled oats, 158.4g of table grapes, 5.4g of low-fat traditional margarine without added salt, and 7.5g of white wheat flour. Oh, and I’m also sipping on 819.1g of unbottled water!",97.0,8.040000000000001,464.0,7.159999999999999,PER,metric
I’m starting my day with 21.5g of fried freshwater fish and 49g of unbottled water.,0.0,0.23,31.0,6.2,PER,metric
"For breakfast, I consumed 2.4g of amaranth flour, 25g of bread with brown sugar, an additional 3g of brown sugar, 12.7g of evaporated milk, and 95.6g of water.",21.78,3.84,133.0,3.48,PER,metric
"For dinner, I had 6 grams of brown sugar, 162 grams of unsweetened evaporated milk, and 2 grams of hard candies. I also drank 84 grams of unbottled water and had 46 grams of white wheat bread.",56.56,12.29,400.0,14.79,PER,metric
I’m enjoying 98g of unsweetened evaporated milk and 63g of water at dinner.,9.51,7.35,130.0,6.27,PER,metric
"For dinner, I’m having 28.9g of fresh chicken breast, 14.4g of hen eggs, and 1.1g of olive oil. I also have 5.7g of pre-cooked chicken sausages, 28.9g of raw rice, and a 226g serving of flavored soft drink. I added 8.6g of soy sauce, 2.0g of spring onions, and 37.4g of unbottled water.",48.57,5.339999999999999,284.0,10.590000000000002,PER,metric
"For a snack, I had an 85g biscuit with filling, some 28.2g carrots, and 21.3g of celery, along with a delicious 82.0g common banana, 39.3g of dried durum pasta, 17.3g of garden peas (without pods), and 15.0g of potatoes (without peel). I also had 67.7g of pumpkins, a pinch of 0.3g of iodised salt, and washed it all down with 319.9g of unbottled water and 190.0g of full-fat yogurt drink.",128.55,29.79,846.0,19.0,PER,metric
"For dinner, I had 47g of bread and rolls with butter and margarine, along with 4.7g of brown sugar, and a 5g serving of fortified cocoa powder. I also enjoyed 156.5g of evaporated milk, 6.0g of strawberry jam, 8.4g of rolled oats, and 6.7g of quinoa. To wash it all down, I had 258.2g of unbottled water.",76.22,8.93,435.0,13.310000000000002,PER,metric
"For my snack, I have 50g of banana, 198g of oranges, and I'm drinking 220g of unbottled water.",33.379999999999995,0.6000000000000001,135.0,2.83,PER,metric
"For dinner, I'm having 11.5 grams of brown sugar, 1.7 grams of salted butter, 0.9 grams of hen eggs, and 3.5 grams of maize semolina. I also have 0.0 grams of iodised and fluoridated salt, 159.1 grams of unbottled water, 8.9 grams of blended vegetable fats, and 8.8 grams of white wheat flour.",20.57,10.04,175.0,1.31,PER,metric
"For dinner, I'm having 31.8g of fresh chicken breast cooked with 3.4g of brown sugar and seasoned with 1.3g of lemon juice. I also included 7.7g of potatoes and 4.8g of raw rice, along with 2.3g of refined soybean oil. To wash it down, I have 59.0g of unbottled water on the side. Everything's coming together for a tasty meal! Plus, there's also some garlic (0.0g, w/o peel) and iodized salt (0.0g) that I didn't use this time, but they usually add great flavor.",8.95,3.26,91.0,6.56,PER,metric
"For a snack, I had 51.0g of a common banana, 58.5g of peaches, and 283.0g of semi-skimmed cow milk. This delicious milk is not just creamy but also packed with vitamins A, B6, B12, D, zinc, and omega-3 fatty acids. I also enjoyed 58.0g of rolled oats, 24.0g of dessert sauce made from carobs, and 259.0g of unbottled water. Plus, I had 9.0g of crackers and breadsticks to munch on. Everything was tasty and satisfying!",129.77999999999997,22.27,831.0,25.53,PER,metric
I’ve got 71 grams of fresh chicken breast lined up for my dinner.,0.0,2.06,77.0,13.62,PER,metric
"This breakfast includes 8.9 grams of brown sugar, 53.3 grams of semi-skimmed cow milk, and a 130.2g grain mix featuring barley, amaranth, kaniwa, and quinoa. I also have 9.4g of unbottled water.",23.34,3.5,133.0,3.71,PER,metric
"For lunch, I had 13.5g of brown sugar, 3.3g of ground capsicum baccatum without added salt, 162.5g of common bananas, 0.0g of flavour enhancer, 0.8g of garlic (without peel), 1.0g of dried meat from mammals (sun-dried), 2.3g of onions, 49.0g of raw rice, 0.1g of root parsley leaves, 1.8g of iodised and fluoridated salt, 3.3g of refined soya bean oil, 41.1g of strawberries, 32.5g of ullucu (without peel), and 280.2g of unbottled water.",95.1,4.590000000000001,435.0,6.800000000000001,PER,metric
"For breakfast, I put together 7.6g of brown sugar and 62.5g of evaporated milk with 12.5g of strawberry jam. I added 19.8g of oat rolled grains, 11g of quinces, 8.5g of sandwich bread with egg yolk, and 160.1g of unbottled water to drink.",38.91,7.16,243.0,6.92,PER,metric
"At breakfast, I’m eating a 10g roll that has brown sugar in it.",6.23,1.11,39.0,0.95,PER,metric
"For breakfast, I had 17.3g of brown sugar, 52.8g of canned tuna in vegetable oil, and 1.2g of garlic without peel. I also enjoyed 23.2g of milk, some 33.1g of onions, and 34.0g of potatoes. I added 47.7g of polished rice with 6.2g of palm oil, seasoned it with 1.6g of iodised salt, and included 25.8g of tomatoes. To complete the meal, I had 35.2g of wheat semolina and drank 271.9g of unbottled water.",96.93,19.64,648.0,21.6,PER,metric
I ate 85.5g of apple with the peel and 101.7g of banana for a snack.,32.379999999999995,0.35,118.0,1.83,PER,metric
"For a snack, I had 64.2g of apples, 11.5g of brown sugar, and 13g of crackers and breadsticks. I also drank 228g of unsweetened evaporated milk and 37.1g of processed oat-based flakes. To wash it down, I had 702.4g of unbottled water.",75.9,22.97,587.0,20.05,PER,metric
"For my breakfast, I had 49 grams of fried eggs and added 9.6 grams of brown sugar. I also had 20.7 grams of a mixed cereal blend and 279.7 grams of water, plus 18 grams of white wheat bread.",36.47,6.620000000000001,227.0,16.439999999999998,PER,metric
"For dinner, I'm having 1.8g of carrots, 30.3g of a common banana, 6.4g of dried durum pasta that's fortified with vitamins and minerals, 0.2g of garlic, 1.1g of onions, 6.2g of potatoes, 0.3g of iodised and fluoridated salt, 0.7g of refined soya bean oil, and 130.1g of unbottled water.",16.139999999999997,0.7799999999999999,72.0,1.39,PER,metric
"For lunch, I'm having 15.7 grams of brown sugar, 1.5 grams of carrots, and 9.6 grams of dry garden peas without husks. I also added 0.2 grams of ground garlic, 55.4 grams of hen eggs, and 1.9 grams of onions. Alongside that, I've got 10.5 grams of potatoes without peel, 11.4 grams of raw rice, and 0.6 grams of iodized salt. To cook it all, I used 11.0 grams of refined soybean oil, and I included 1.1 grams of tomatoes too. I washed it down with 151.9 grams of unbottled water.",34.02,16.09,322.0,10.51,PER,metric
"At breakfast, I had 120g of liquid evaporated milk, 14g of honey, 2g of margarine with salt, 116g of water, and 13g of white wheat rolls.",32.96,10.66,264.0,8.94,PER,metric
"For lunch, I had 1.1g of aromatic herbs, 9g of broad beans, and 4.5g of brown sugar. I also included 11.8g of fresh chicken breast, along with 1.2g of culantro leaves and 0.4g of garlic without the peel. Additionally, I added 4.6g of onions, 0.1g of peppermint, and 15.5g of potatoes without the peel. For some extra flavor, I included 10.7g of powdered drink base that contains potato flour and various flavorings. I had 58.3g of polished rice cooked raw, 1.4g of iodised salt, and 3.4g of refined soybean oil. To round off the meal, there were 11.4g of white sweet potatoes and a refreshing 319.7g of unbottled water.",69.47000000000001,4.28,354.0,8.589999999999998,PER,metric
"I’m having 0.5 grams of carrots and 12.3 grams of dry garden peas for lunch, along with 0.3 grams of garlic. I also have 33.9 grams of raw rice, 0.5 grams of iodized salt, 1.4 grams of refined soya bean oil, and 137.6 grams of unbottled water.",34.55,1.87,177.0,4.72,PER,metric
"For a snack, I'm having a 19g biscuit with some filling, 8g of filled chocolate with peanuts, and 32g of milk-based follow-on formula powder. I'm also enjoying 21g of gelatine, 271g of mandarins, 32g of mixed supplements in powder form, and 45.5g of plums from purple mombin. Plus, I'm sipping on 409g of unbottled water.",107.56000000000002,18.13,620.0,14.64,PER,metric
"This morning, I enjoyed 9.6 grams of brown sugar, 10.3 grams of oats with added vitamins, and 106.8 grams of water.",16.33,0.83,76.0,1.24,PER,metric
"For lunch, I am having 0.4g of capsicum baccatum, 2.2g of carrots, 6.9g of celeries, 2.8g of fresh chicken breash, 0.4g of crackers and breadsticks, 6.5g of fresh uncured cheese, 0.1g  of garlic with no peel, 2.6g of hen eggs, 2,2g of leeks, 6.4g of raw white maize grain, 14.5g of potatoes, 5.5g of pumpkins, 2.4g of raw rice grain, 0.6g of iodised salt, and 113.2g of drinking water. ",11.66,2.0,75.0,3.07,PER,metric
I’m enjoying 37 grams of fried mixed cereal snacks with 194 grams of unbottled water as my snack.,29.53,1.0,131.0,2.49,PER,metric
"For dinner, I'm having 3 grams of brown sugar, 61 grams of fried liver, 52.8 grams of potatoes, and 177 grams of unbottled water.",19.48,4.93,194.0,17.4,PER,metric
"This morning, I had 20 grams of crackers and breadsticks, 44.7 grams of hen eggs, and drank 144 grams of strawberry-flavored yoghurt.",32.58,8.98,260.0,10.09,PER,metric
"My snack consisted of 7 grams of brown sugar, an 85-gram banana, some unbottled water (135g), and 24 grams of cream chocolate wafers.",41.45,6.02,230.0,2.47,PER,metric
I’ve got 19g of corn curls and a side of 38.8g strawberries for my snack.,14.09,5.63,111.0,1.41,PER,metric
"I’m enjoying a snack with 170 grams of banana, 83.3 grams of mango, and 23 grams of sponge biscuits covered in chocolate. I also have 18.9 grams of table grapes and 15 grams of water.",74.56,4.14,322.0,3.33,PER,metric
"Tonight's dinner includes 44.4 grams of chicken breast, 20.4 grams of potatoes, and a 27g flavored soft drink.",6.71,1.31,76.0,8.95,PER,metric
"For dinner, I’m having 50.1g of hen eggs cooked with 3.8g of brown sugar, 0.1g of garlic, and 1.4g of palm oil. I also have 27.0g of raw rice, 3.6g of rolled oats, and I seasoned it all with 0.7g of iodized salt. I’ll wash it down with about 123.9g of unbottled water.",28.4,6.090000000000001,208.0,8.87,PER,metric
I enjoyed 3 grams of butter with salt on 14 grams of white rolls for breakfast.,8.950000000000001,1.53,53.0,1.22,PER,metric
"For dinner, I used 0.1g of garlic without peel, 3.6g of dry lentils, 0.5g of onions, 0.1g of iodised salt, 0.1g of refined soya bean oil, and 14.6g of unbottled water.",2.29,0.14,13.0,0.86,PER,metric
"I just had 18.5g of plain sweet biscuits, along with 29.4g of oranges, and I'm washing it down with 358g of water for a snack.",16.97,2.06,92.0,1.18,PER,metric
"For my dinner, I had a mix of 3.3g of carrots, 0.2g of garlic, 1.3g of globe tomato, and 2.5g of onions. I also included 14.9g of potatoes, 3.3g of pumpkins, and 29.4g of raw rice, with a touch of 0.7g of iodised salt and 0.3g of refined soya bean oil, paired with 105.1g of unbottled water.",27.04,0.55,125.0,2.7,PER,metric
"For dinner, I'm having 10.8g of brown sugar, 15g of crackers and breadsticks, and 246.3g of unbottled water.",21.9,0.78,101.0,1.71,PER,metric
"For breakfast, I’m having 4.4g of carrots, 0.5g of celery, 4.2g of common wheat grain, and 3.5g of dried durum pasta, along with 0.1g of garlic, 0.6g of leeks, 28.0g of alpaca meat, 6.8g of potatoes, 4.0g of pumpkins, and a pinch of 0.5g of iodised salt, washed down with 68.8g of unbottled water.",8.32,0.28,68.0,7.71,PER,metric
"This morning, I ate 6.7g of amaranth grains and 16.6g of apples, mixed with 5.8g of brown sugar. I included 9.2g of dried vegetables, 6.7g of quinoa, and drank 235g of unbottled water. I also had a 12g serving of white wheat bread.",32.92,0.94,147.0,3.14,PER,metric
"For breakfast, I'm having 6.7g of apples, along with some 0.0g bread that has brown sugar in it. I also have 3.4g of brown sugar, 10.0g of full-fat milk powder fortified with calcium and iron, 36.0g of mortadella sausage, 4.5g of quinoa grain, and 83.3g of unbottled water.",14.1,12.61,198.0,7.960000000000001,PER,metric
"For breakfast, I'm having 7 grams of brown sugar, 135 grams of unbottled water, and 24 grams of cream chocolate wafers.",23.6,5.76,159.0,1.2,PER,metric
"For a snack, I had 69.5g of apples with the peel, 63.0g of brioche with candied fruits and dried vine fruits, 7.9g of brown sugar, and a little bit of 0.2g instant coffee powder. I also enjoyed 115.0g of other ice cream and similar, washed it down with 77.0g of a flavored soft drink with no fruit, and had a tasty 25.0g sponge cake roll made with baked milk. Of course, I stayed hydrated with 125.9g of unbottled water.",95.26999999999998,14.09,539.0,11.18,PER,metric
"For lunch, I'm having 6.7g of carrots, 29.0g of chicken breast, and 28.9g of chicken leg. I also have 45.7g of dried durum pasta, 0.2g of garlic, 6.6g of onions, and 52.8g of potatoes. I seasoned it with 1.5g of iodized salt and 0.6g of refined soybean oil, and added 5.2g of peeled, deseeded tomatoes. I’ll also drink 77.3g of unbottled water.",43.96,2.41,268.0,16.71,PER,metric
"For breakfast, I'm having 19g of fried chicken liver, 53g of cooked cassava roots without the peel, and 99.9g of common banana. I also added 13g of brown sugar and 4g of refined soya bean oil, plus 251g of unbottled water.",63.58,6.38,318.0,5.45,PER,metric
"For breakfast, I ate 23.7g of fresh chicken, a 34g banana, and 55g of evaporated milk. I cooked with 0.2g of garlic and 4.3g of palm oil, along with 68.1g of raw rice. I added 1.1g of salt and had 46g of sandwich bread, finishing it off with 449.9g of unbottled water.",97.63,13.41,581.0,18.03,PER,metric
"I’m enjoying dinner with 2.9 grams of brown sugar, 11.7 grams of garden peas, and 0.7 grams of garlic. I added 1.3 grams of onions and 29.5 grams of raw rice, seasoned with 0.9 grams of refined soya bean oil and 0.9 grams of iodized salt, along with 178.6 grams of unbottled water.",28.71,1.1800000000000002,139.0,2.69,PER,metric
