intent_type,nutritionist_prompt
flag_risk_for_condition,"Given this nutrient profile (37.040000000000006g carbs, 26.110000000000003g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_macro_balance,"Review this meal: ""For a snack, I'm having a Little Debbie cinnamon bun and a can of pepper-flavored soft drink."". Can you identify if the macronutrient distribution is balanced or skewed?"
ask_for_cultural_alternatives,"The patient is from ITA and frequently eats this: ""For a snack, I'm having 50g of fresh banana, 90g of white bread, and 155.5g of raw chicken. I also have 15.4g of olive oil and 150g of mashed potato flakes, along with 320g of a Sprite-type carbonated beverage. Oh, and I decided to include a little wine, so there's also 0g of an alcoholic beverage."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
flag_risk_for_condition,"Given this nutrient profile (101.68g carbs, 14.12g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’ve got a snack of 57 grams of Skittles."" to healthier options. Can you suggest a gradual behavior modification strategy?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
flag_risk_for_condition,"Given this nutrient profile (40.84g carbs, 11.56g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 39.44g. Is that adequate for a moderately active adult aiming to maintain lean mass?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
query_energy_appropriateness,This meal has 59.7 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
recommend_adjustment,This meal contains 46.72 kcal and 6.28g of carbs. What adjustments would you recommend for someone aiming for weight control?
flag_risk_for_condition,"Given this nutrient profile (70.19999999999999g carbs, 15.6g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 20.78g. Is that adequate for a moderately active adult aiming to maintain lean mass?
request_macro_balance,"Review this meal: ""For dinner, I’ve got 50g of coffee, 187g of pork meat cooked with fats, a little bit of sugar at 5g, 300g of water, and 135g of white rice."". Can you identify if the macronutrient distribution is balanced or skewed?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’ve got a whole wheat peanut butter sandwich for dinner."" to healthier options. Can you suggest a gradual behavior modification strategy?"
recommend_adjustment,This meal contains 390.24 kcal and 45.21g of carbs. What adjustments would you recommend for someone aiming for weight control?
flag_risk_for_condition,"Given this nutrient profile (1.04g carbs, 0.11g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
ask_for_cultural_alternatives,"The patient is from MEX and frequently eats this: ""For a quick snack, I have a 9.9g biscuit filled with custard, 95.4g of bitter oranges, 138.4g of drinking water, and 6.2g of white sugar."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For a snack, I'm having a can of decaffeinated diet cola and a mini microwave bag of butter-flavored popcorn."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""I'm eating 59.5g of chapati with 78g of kosambri, 49.6g of rice, and 27.5g of tomato sambar for dinner."". Can you identify if the macronutrient distribution is balanced or skewed?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I have a 17-gram SNICKERS bar, 17 grams of white chocolate with cereal, and 240 grams of bottled unsweetened water for my snack."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
flag_risk_for_condition,"Given this nutrient profile (62.79g carbs, 9.41g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 1.38g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_protein_support,The protein in this meal is 13.92g. Is that adequate for a moderately active adult aiming to maintain lean mass?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’m enjoying a soft taco with meat, beans, and sour cream that weighs 132 grams, along with 240 grams of bottled unsweetened water for dinner."" to healthier options. Can you suggest a gradual behavior modification strategy?"
flag_risk_for_condition,"Given this nutrient profile (28.1g carbs, 25.08g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
recommend_adjustment,This meal contains 174.25 kcal and 16.32g of carbs. What adjustments would you recommend for someone aiming for weight control?
query_protein_support,The protein in this meal is 19.26g. Is that adequate for a moderately active adult aiming to maintain lean mass?
recommend_adjustment,This meal contains 838.7099999999999 kcal and 119.88g of carbs. What adjustments would you recommend for someone aiming for weight control?
flag_risk_for_condition,"Given this nutrient profile (94.13g carbs, 51.29g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
flag_risk_for_condition,"Given this nutrient profile (28.4g carbs, 32.53g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
recommend_adjustment,This meal contains 377.0 kcal and 78.8g of carbs. What adjustments would you recommend for someone aiming for weight control?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For breakfast, I’m having 240 grams of bottled water, a 70-gram egg omelet with meat made using cooking spray, and a 28-gram corn tortilla."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
request_macro_balance,"Review this meal: ""For lunch, I'm having a peanut butter and jelly sandwich made with regular peanut butter and jelly on wheat bread, along with a small bag of graham crackers and a 20 fl oz bottle of diet cola."". Can you identify if the macronutrient distribution is balanced or skewed?"
query_energy_appropriateness,This meal has 252.93 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
recommend_adjustment,This meal contains 400.37 kcal and 65.42g of carbs. What adjustments would you recommend for someone aiming for weight control?
request_meal_analysis,"Can you analyze this meal: ""I'm enjoying a piece of caramel candy that's covered in chocolate along with a can of cola as a snack."" with 45.11g carbs, 2.11g fat, 0.48g protein, and 193.77 kcal, and suggest whether it aligns with general dietary guidelines?"
request_macro_balance,"Review this meal: ""I have a Kool-Aid Jammers pouch of fruit juice and one egg that I scrambled in oil for breakfast."". Can you identify if the macronutrient distribution is balanced or skewed?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
flag_risk_for_condition,"Given this nutrient profile (16.88g carbs, 9.45g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_meal_analysis,"Can you analyze this meal: ""I’ve got a soft taco with meat that weighs 99 grams and a 78-gram taco with meat for dinner."" with 35.510000000000005g carbs, 19.56g fat, 16.07g protein, and 380.22 kcal, and suggest whether it aligns with general dietary guidelines?"
flag_risk_for_condition,"Given this nutrient profile (30.97g carbs, 12.07g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_macro_balance,"Review this meal: ""I had a snack that included 67g of black beans, 122.3g of chayote fruit with seasoning, 28.6g of maize dough beverage, and a 300g tortilla."". Can you identify if the macronutrient distribution is balanced or skewed?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I'm having a breakfast of 37 grams of Honey Nut Cheerios."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For breakfast today, I chose a Milk 'n Cereal bar."" to healthier options. Can you suggest a gradual behavior modification strategy?"
request_meal_analysis,"Can you analyze this meal: ""For breakfast, I had a plain frozen waffle (55.0g) with 15 grams of regular cream cheese and a bottle of unsweetened water (507.0g)."" with 27.44g carbs, 10.39g fat, 5.0g protein, and 222.45 kcal, and suggest whether it aligns with general dietary guidelines?"
recommend_adjustment,This meal contains 40.47 kcal and 9.37g of carbs. What adjustments would you recommend for someone aiming for weight control?
query_energy_appropriateness,This meal has 171.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_energy_appropriateness,This meal has 349.6 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_meal_analysis,"Can you analyze this meal: ""For lunch, I'm having a grilled cheese sandwich made with cheddar cheese on white bread, along with an ounce of cooked smoked ham and a bottle of water."" with 30.94g carbs, 28.79g fat, 21.22g protein, and 467.96 kcal, and suggest whether it aligns with general dietary guidelines?"
flag_risk_for_condition,"Given this nutrient profile (24.04g carbs, 6.25g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
query_energy_appropriateness,This meal has 305.04 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
flag_risk_for_condition,"Given this nutrient profile (29.49g carbs, 5.34g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
recommend_adjustment,This meal contains 394.92 kcal and 48.34g of carbs. What adjustments would you recommend for someone aiming for weight control?
ask_for_cultural_alternatives,"The patient is from ITA and frequently eats this: ""For my snack, I have a mix of 10.9 grams of butter, 90 grams of Emmenthal cheese, and 90 grams of Fontina cheese. I brewed a 60g espresso and have a fresh grapefruit that weighs 150 grams. Alongside that, I’m munching on 181.1 grams of raw peas, adding 16 grams of sugar, and enjoying 120 grams of canned peeled tomatoes, with 320 grams of bottled Fonteviva water."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I made some oyster stew, and it weighs about 245 grams for my lunch."" to healthier options. Can you suggest a gradual behavior modification strategy?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’ve got a lunch of 240 grams of tap water and a bowl of 593 grams of cream of mushroom soup."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_energy_appropriateness,This meal has 137.9 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
query_energy_appropriateness,This meal has 159.96 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
ask_for_cultural_alternatives,"The patient is from TUN and frequently eats this: ""I enjoyed 200 grams of melons and a Tunisian salad with 113.5g of vegetable oil for dinner, plus 300g of watermelon and 100g of white bread."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
flag_risk_for_condition,"Given this nutrient profile (47.8g carbs, 10.42g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 10.98g. Is that adequate for a moderately active adult aiming to maintain lean mass?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For lunch, I’m eating one PowerBar nutrition bar."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
flag_risk_for_condition,"Given this nutrient profile (34.06g carbs, 14.73g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_meal_analysis,"Can you analyze this meal: ""For my snack, I have a 1.67 oz pack of M&M's Peanut Chocolate Candies and a drink of cola from a 12 fl oz can."" with 66.97g carbs, 13.21g fat, 4.5g protein, and 398.29 kcal, and suggest whether it aligns with general dietary guidelines?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For lunch, I'm having 246 grams of boiled white rice with a bit of 0.3 grams of red chili chutney."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""I’ve got a lunch of 25 grams of bread, 145.2 grams of cheese and onion with dill, and 436.1 grams of country soup."". Can you identify if the macronutrient distribution is balanced or skewed?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For lunch, I had 13g of wheat flour bread and a mix of 18g of cooked macaroni pasta with red onion, oil, salt, and green pepper."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
recommend_adjustment,This meal contains 247.9 kcal and 33.93g of carbs. What adjustments would you recommend for someone aiming for weight control?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""Breakfast today is a container of whole milk yogurt with fruit and a mozzarella cheese stick."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
request_meal_analysis,"Can you analyze this meal: ""I had a lunch that consisted of 104.8 grams of beef without fat, 250 grams of passionfruit drink, 103.5 grams of chayote with vegetables, 127.2 grams of plantain with vegetables, 114.9 grams of potato mixed with meat and vegetables, and a 57-gram maize tortilla."" with 121.46g carbs, 14.98g fat, 46.19g protein, and 777.0 kcal, and suggest whether it aligns with general dietary guidelines?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""As a snack, I’m enjoying 2 grams of tamarind."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I'm snacking on a single breaded chicken strip from a fast food joint."" to healthier options. Can you suggest a gradual behavior modification strategy?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I’m snacking on a 372-gram caffeine-free fruit soft drink and a 40-gram Milk 'n Cereal bar."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
query_energy_appropriateness,This meal has 757.38 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_protein_support,The protein in this meal is 81.97g. Is that adequate for a moderately active adult aiming to maintain lean mass?
flag_risk_for_condition,"Given this nutrient profile (20.03g carbs, 9.65g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_macro_balance,"Review this meal: ""I enjoyed a snack that included 3.4g of artificial fruit-flavored drink, 66g of cheese-filled bread, a 32g cookie, and 32.8g of tomato and onion."". Can you identify if the macronutrient distribution is balanced or skewed?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_macro_balance,"Review this meal: ""For lunch, I'm having 124 grams of 100% orange juice from a carton and 147 grams of pepperoni pizza from school."". Can you identify if the macronutrient distribution is balanced or skewed?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I’m starting my day with a delicious doughnut topped with icing and a cup of whole milk."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_meal_analysis,"Can you analyze this meal: ""For dinner, it’s a 90-gram pork chop and 196 grams of brown rice on my plate."" with 49.88g carbs, 11.329999999999998g fat, 30.270000000000003g protein, and 429.02 kcal, and suggest whether it aligns with general dietary guidelines?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For breakfast, I had a medium slice of toasted multigrain bread with a tablespoon of peanut butter."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
flag_risk_for_condition,"Given this nutrient profile (41.400000000000006g carbs, 19.91g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_meal_analysis,"Can you analyze this meal: ""For breakfast, I’m having an egg and cheese sandwich on a biscuit with a can of pepper soft drink."" with 62.69g carbs, 30.46g fat, 14.14g protein, and 576.24 kcal, and suggest whether it aligns with general dietary guidelines?"
request_macro_balance,"Review this meal: ""For my dinner, I’m having an 117.2g eggplant stew that includes chicken and vegetable oil."". Can you identify if the macronutrient distribution is balanced or skewed?"
request_macro_balance,"Review this meal: ""For dinner, I'm having 120g of wheat bran bread, along with 5.3g of carrots, 4.8g of celery, and 50g of cucumbers. I'm also including 51.7g of dried beans, a sprinkle of 0.7g of dry red peppers, and a bit of 1.3g of wheat flour. To keep it tasty, I added 23.3g of sunflower oil, 21.0g of onions, and 64.3g of red peppers. For some freshness, I'm using 2.1g of mint leaves and 5.4g of parsley. A dash of 1.8g of table salt, 78.4g of tomatoes, and a splash of 8.3g of vinegar round out the meal."". Can you identify if the macronutrient distribution is balanced or skewed?"
flag_risk_for_condition,"Given this nutrient profile (100.0g carbs, 31.9g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_energy_appropriateness,This meal has 596.38 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_energy_appropriateness,This meal has 198.45 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_macro_balance,"Review this meal: ""I enjoyed a lunch of 110 grams of French fries and a 140-gram fried chicken sandwich from a fast food place."". Can you identify if the macronutrient distribution is balanced or skewed?"
query_protein_support,The protein in this meal is 5.3g. Is that adequate for a moderately active adult aiming to maintain lean mass?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I’m snacking on 28.35 grams of mozzarella cheese."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
recommend_adjustment,This meal contains 363.15 kcal and 52.98g of carbs. What adjustments would you recommend for someone aiming for weight control?
request_macro_balance,"Review this meal: ""For a snack, I had 120g of red table wine, 120g of durum wheat bread, 112.5g of buffalo mozzarella cheese, 67.5g of canned tuna in oil, 6g of lemon juice, 50g of raw lettuce, 182g of fresh orange, 4.5g of olive oil, and 160g of bottled water - Levissima."". Can you identify if the macronutrient distribution is balanced or skewed?"
request_macro_balance,"Review this meal: ""I’m enjoying a 44g whole egg along with 55g of leafy vegetable mallum and 200g of white rice for lunch."". Can you identify if the macronutrient distribution is balanced or skewed?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For lunch, I'm having a 40g plain reduced-fat frozen waffle."" to healthier options. Can you suggest a gradual behavior modification strategy?"
flag_risk_for_condition,"Given this nutrient profile (47.74g carbs, 4.76g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_energy_appropriateness,This meal has 282.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_protein_support,The protein in this meal is 21.31g. Is that adequate for a moderately active adult aiming to maintain lean mass?
recommend_adjustment,This meal contains 386.38 kcal and 35.53g of carbs. What adjustments would you recommend for someone aiming for weight control?
query_energy_appropriateness,This meal has 740.88 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I'm snacking on 30 grams of vegetable chips."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
recommend_adjustment,This meal contains 76.84 kcal and 19.76g of carbs. What adjustments would you recommend for someone aiming for weight control?
request_macro_balance,"Review this meal: ""For a quick snack, I have 20g of bread filled with vanilla, an 11g cookie with filling, and a 435g cola drink."". Can you identify if the macronutrient distribution is balanced or skewed?"
recommend_adjustment,This meal contains 485.88 kcal and 80.61g of carbs. What adjustments would you recommend for someone aiming for weight control?
request_meal_analysis,"Can you analyze this meal: ""For breakfast, I have 198 grams of a taco burrito with egg and 244 grams of reduced-fat milk."" with 49.900000000000006g carbs, 29.43g fat, 29.0g protein, and 585.3199999999999 kcal, and suggest whether it aligns with general dietary guidelines?"
recommend_adjustment,This meal contains 224.0 kcal and 50.900000000000006g of carbs. What adjustments would you recommend for someone aiming for weight control?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""This morning, I had 36 grams of whole wheat bread, an 85-gram clementine, 64 grams of low-fat fruit yogurt, and 21 grams of cheddar cheese."" to healthier options. Can you suggest a gradual behavior modification strategy?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For my breakfast, I’m eating a Gerber 2nd Foods serving of strained apricots."" to healthier options. Can you suggest a gradual behavior modification strategy?"
recommend_adjustment,This meal contains 288.52 kcal and 74.5g of carbs. What adjustments would you recommend for someone aiming for weight control?
flag_risk_for_condition,"Given this nutrient profile (173.15g carbs, 11.98g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For a snack, I'm eating 60 grams of raw carrots."" to healthier options. Can you suggest a gradual behavior modification strategy?"
flag_risk_for_condition,"Given this nutrient profile (34.23g carbs, 27.12g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_meal_analysis,"Can you analyze this meal: ""I’ve got a drink made from 248 grams of oatmeal and water for breakfast."" with 26.31g carbs, 0.37g fat, 0.62g protein, and 106.64 kcal, and suggest whether it aligns with general dietary guidelines?"
recommend_adjustment,This meal contains 112.0 kcal and 15.6g of carbs. What adjustments would you recommend for someone aiming for weight control?
recommend_adjustment,This meal contains 322.0 kcal and 25.92g of carbs. What adjustments would you recommend for someone aiming for weight control?
query_energy_appropriateness,This meal has 218.24 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I enjoyed a snack with 56 grams of guava, 24.1 grams of milk tea, 206 grams of buffalo milk, and 31 grams of salted peanuts."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I had a breakfast of Kashi GOLEAN cereal (52 grams) and low-fat milk (244 grams), along with brewed coffee (240 grams) and a gram of saccharin."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""For dinner, I'm having a burrito with meat that weighs 438 grams, topped with 0.3 grams of some raw cilantro."". Can you identify if the macronutrient distribution is balanced or skewed?"
query_energy_appropriateness,This meal has 269.44 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_protein_support,The protein in this meal is 18.22g. Is that adequate for a moderately active adult aiming to maintain lean mass?
request_meal_analysis,"Can you analyze this meal: ""For breakfast, I had 2.5 grams of butter on 69 grams of wheat bread and a 125g glass of nectar fruit juice."" with 53.4g carbs, 3.23g fat, 6.2g protein, and 271.0 kcal, and suggest whether it aligns with general dietary guidelines?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’m having a medium slice of pepperoni pizza with thick crust for my lunch."" to healthier options. Can you suggest a gradual behavior modification strategy?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_macro_balance,"Review this meal: ""Tonight, my meal consists of a small raw apple and a medium breast of sautéed chicken without the skin."". Can you identify if the macronutrient distribution is balanced or skewed?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
ask_for_cultural_alternatives,"The patient is from ZMB and frequently eats this: ""I’m snacking on 21 grams of kapenta fish, 96g of white maize flour, and 6g of a large boiled onion. Plus, I have 11g of boiled tomato and 114g of boiled bubble fish."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For lunch, I'm having a cup of brewed coffee, a biscuit, a container of nonfat Greek yogurt with fruit, and a 5.3 oz container of butter."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
recommend_adjustment,This meal contains 462.2000000000001 kcal and 45.13g of carbs. What adjustments would you recommend for someone aiming for weight control?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For dinner, I'm having an Arby's regular roast beef sandwich."" to healthier options. Can you suggest a gradual behavior modification strategy?"
request_meal_analysis,"Can you analyze this meal: ""For a snack, I'm having 63 grams of General Mills Chex Wheat cereal with 244 grams of reduced fat milk."" with 63.77g carbs, 5.77g fat, 14.34g protein, and 339.35 kcal, and suggest whether it aligns with general dietary guidelines?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’m having lunch with 182 grams of movie theater popcorn topped with butter and a 20-gram cookie for dessert."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_energy_appropriateness,This meal has 207.82 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_meal_analysis,"Can you analyze this meal: ""For a little snack, I'm having a KIND Fruit and Nut Bar and a cup of non-dairy frozen treat."" with 48.71g carbs, 27.51g fat, 6.78g protein, and 448.9 kcal, and suggest whether it aligns with general dietary guidelines?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’m starting my day with 5.8g of butter, 19.6g of cow cheese, 1g of human milk, 32.3g of macaroni pasta couscous, and just a little bit of table salt, which is 0.1g."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_protein_support,The protein in this meal is 8.67g. Is that adequate for a moderately active adult aiming to maintain lean mass?
flag_risk_for_condition,"Given this nutrient profile (33.2g carbs, 6.25g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_energy_appropriateness,This meal has 136.36 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I have a raw peach, a mozzarella cheese stick, and a cup of water for my snack."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
query_protein_support,The protein in this meal is 11.02g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_energy_appropriateness,This meal has 577.2 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For lunch, I had a chicken and turkey hot dog sandwich on a plain white bun, weighing about 102 grams, and I drank some tap water, around 240 grams."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
flag_risk_for_condition,"Given this nutrient profile (62.83g carbs, 24.77g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
flag_risk_for_condition,"Given this nutrient profile (52.8g carbs, 20.56g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
flag_risk_for_condition,"Given this nutrient profile (10.8g carbs, 5.2g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For lunch, I'm having 23.3g of cucumbers, 0.4g of dry red peppers, and 0.8g of type 500 wheat flour. I also added 8g of sunflower seed oil, 10.1g of spring onions, and 6g of green peppers. I've included 84g of autumn potatoes, a pinch of fennel spice (0.9g), some parsley spice (1.4g), a touch of table salt (0.9g), 11.3g of tomatoes, and a dollop of 2% fat yogurt (55g)."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""Lunch today includes a bottle of water and a piece of restaurant-style thick crust pizza with meat and vegetables."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I have one Little Debbie Delight cookie for my snack."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""At lunch, I'm eating 5 grams of light cream, 28 grams of fried plantain, 138 grams of mixed cereals drink with milk, 91 grams of rice and beans salad, and 122.1 grams of raw watermelon."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_protein_support,The protein in this meal is 1.81g. Is that adequate for a moderately active adult aiming to maintain lean mass?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For dinner, I'm having a cup of frozen meat lasagna."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
flag_risk_for_condition,"Given this nutrient profile (93.31g carbs, 42.79g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 5.4g. Is that adequate for a moderately active adult aiming to maintain lean mass?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For dinner, I'm having a cup of dressing with meat and vegetables."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For a snack, I’m having 370 grams of noodle soup, a beef and pork hot dog weighing 57 grams, and a soft white roll that’s 52 grams."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
query_protein_support,The protein in this meal is 2.64g. Is that adequate for a moderately active adult aiming to maintain lean mass?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’ve got a caffeine-free fruit soft drink that’s 372 grams along with a 140-gram raw nectarine for breakfast."" to healthier options. Can you suggest a gradual behavior modification strategy?"
recommend_adjustment,This meal contains 144.76 kcal and 14.78g of carbs. What adjustments would you recommend for someone aiming for weight control?
